zip,latitude,longitude,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income
66062,38.860511,-94.77581,200910535072001,29721,1177,407,371,59,327,407,706,91,773,371,407,36
66061,38.88978400000001,-94.85558,200910528012016,36605,1571,475,461,82,576,475,847,77,958,461,475,14
64111,39.056505,-94.59439,290950168004006,31496,1210,811,110,0,31,811,634,111,981,110,811,701
66101,39.118054,-94.62568,202090418001004,11478,985,626,31,25,67,626,717,95,745,31,626,595
66205,39.030172,-94.63097,200910501005009,29905,1108,420,398,35,266,420,698,87,752,398,420,22
66215,38.961006,-94.74145,200910524171029,24855,2436,1130,127,158,630,1130,1202,143,1571,127,1130,1003
66202,39.023105,-94.66658,200910503012017,32814,737,437,254,0,21,437,606,154,622,254,437,183
64014,39.01755900000001,-94.25767,290950141013015,23644,1772,640,331,111,453,640,1009,166,1146,331,640,309
66212,38.959606,-94.68189,200910518033010,26836,1118,456,364,167,175,456,692,66,776,364,456,92
66053,38.602219,-94.68121,201211004001027,32183,1432,556,504,12,380,556,996,199,1052,504,556,52
66204,38.992255,-94.67528,200910511002006,31059,899,591,328,0,177,591,619,100,659,328,591,263
66207,38.957396,-94.64691,200910518013025,70491,1529,581,573,81,364,581,1055,164,1065,573,581,8
66030,38.813839,-94.9265,200910537073009,19170,1265,587,225,56,265,587,767,99,825,225,587,362
66223,38.860552,-94.66594,200910534131021,53453,3642,1347,951,123,1232,1347,2035,153,2215,951,1347,396
66102,39.112204,-94.66643,202090415001033,10930,1245,393,160,43,361,393,606,33,754,160,393,233
66214,38.961756,-94.71498,200910519032015,20840,1429,588,255,40,322,588,643,179,869,255,588,333
66018,38.961396,-94.97681,200910527003017,30802,1751,590,547,88,663,590,983,99,1032,547,590,43
64127,39.089704,-94.53968,290950160002001,9105,1091,353,172,121,441,353,482,55,507,172,353,181
66217,39.021629,-94.78107,200910523061019,54198,1487,563,538,65,348,563,1043,121,1060,538,563,25
62223,38.55615,-90.05078,171635032113055,50230,2201,1198,878,39,322,1198,1576,305,1773,878,1198,320
64130,39.034838,-94.54507,290950077001014,14123,598,256,148,40,100,256,447,33,447,148,256,108
64113,39.013638,-94.59471,290950085001001,62050,617,287,287,33,146,287,463,62,463,287,287,0
64465,39.535467,-94.30633,290499602004042,20882,1005,389,263,67,287,389,552,88,638,263,389,126
66083,38.736692,-94.83362,201211002001012,29257,1517,516,463,44,490,516,784,141,930,463,516,53
64128,39.066754,-94.5365,290950057001006,12717,542,269,162,28,133,269,294,10,330,162,269,107
66106,39.066732,-94.68872,202090437002001,22422,1030,347,301,60,223,347,679,61,711,301,347,46
66221,38.865825,-94.71231,200910534232004,57630,1896,570,570,103,713,570,1103,86,1131,570,570,0
64114,38.966056,-94.59641,290950099002000,30634,824,411,364,11,86,411,605,102,708,364,411,47
66064,38.489733,-94.96465,201211007007099,25778,1147,386,356,120,301,386,689,58,729,356,386,30
66203,39.020405,-94.70583,200910521023000,24596,530,278,167,28,39,278,456,68,456,167,278,111
66219,38.963798,-94.77155,200910524152005,30459,1434,745,74,8,333,745,701,96,906,74,745,671
66048,39.298776,-94.93555,201030707001000,37267,1596,620,488,81,318,620,1134,298,1193,488,620,132
66521,39.483435,-96.21101,201490004001094,22245,1138,492,423,153,279,492,706,91,775,423,492,69
66103,39.059254,-94.62453,202090451001027,18217,933,593,44,18,163,593,422,37,568,44,593,549
64012,38.810856,-94.53201,290370613003026,20753,1024,561,199,14,214,561,619,131,762,199,561,362
64134,38.928206,-94.49832,290950132031006,15083,1111,345,284,124,298,345,559,36,625,284,345,61
66218,39.011673,-94.8126,200910525021020,48874,1699,615,615,144,404,615,1152,230,1168,615,615,0
64050,39.09888,-94.41447,290950116001008,17535,750,408,100,60,183,408,417,13,467,100,408,308
66216,39.009485,-94.73924,200910523042015,28705,1384,627,516,88,247,627,1085,95,1195,516,627,111
66085,38.798648,-94.65527,200910538032009,70692,1565,543,521,74,442,543,1007,146,1025,521,543,22
66206,38.959256,-94.62223,200910516003018,52364,2277,901,901,157,634,901,1539,126,1539,901,901,0
66210,38.924739,-94.70473,200910530023000,39601,1427,829,472,26,178,829,923,120,1117,472,829,357
64081,38.908657,-94.40285,290950137041017,31765,1509,646,542,100,271,646,1091,154,1132,542,646,104
66031,38.824863,-94.899201,200910537112032,28813,592,279,99,12,162,279,514,143,538,99,279,180
66213,38.899634000000006,-94.70758,200910530091019,61142,2297,763,739,213,579,763,1500,224,1542,739,763,24
74105,36.099044,-95.96615,401430050022004,54681,1194,528,296,81,223,528,899,167,1010,296,528,232
54952,44.212448,-88.40959000000002,551390028001017,24953,1889,833,645,71,339,833,1181,155,1366,645,833,188
66021,38.762545,-95.00622,200910537011044,21429,1668,571,465,103,433,571,823,100,1021,465,571,106
66071,38.574804,-94.86706,201211006013087,26470,2474,1015,683,228,615,1015,1637,282,1839,683,1015,332
66226,39.029641,-94.84844,200910526033009,31591,2962,918,896,174,1042,918,1666,180,1727,896,918,22
64030,38.883548,-94.52503,290950133132007,25259,1725,620,546,57,449,620,1080,165,1150,546,620,74
66013,38.733271,-94.6957,201211002002006,33587,1928,699,646,70,348,699,1409,140,1450,646,699,53
66227,38.972197,-94.86987,200910526011028,36935,1498,596,571,44,352,596,991,74,1080,571,596,25
64133,39.013905,-94.4591,290950125023009,22858,1589,692,562,65,399,692,990,186,1081,562,692,130
66092,38.698415,-95.10414,200599541002050,21588,1021,378,312,121,284,378,593,58,624,312,378,66
64138,38.969806,-94.47256,290950128042028,27982,1995,760,682,56,450,760,1197,172,1404,682,760,78
64015,39.016612,-94.2987,290950141083008,22608,1384,609,458,62,262,609,763,92,905,458,609,151
67042,37.830417,-96.84294,200150203001083,32936,2107,1049,911,115,378,1049,1482,312,1566,911,1049,138
66093,38.21086,-95.50973,200039537001330,20788,1264,415,331,73,461,415,577,64,694,331,415,84
66801,38.410549,-96.19736,201110003002017,19596,812,323,252,32,199,323,412,81,551,252,323,71
66208,38.999505,-94.63102,200910510003006,48974,789,388,368,30,90,388,548,94,637,368,388,20
66604,39.04045,-95.71698,201770019001016,52318,850,458,439,21,129,458,601,65,670,439,458,19
66864,38.368683,-95.98917,201110008003370,27218,1452,623,491,35,215,623,1032,129,1119,491,623,132
64131,38.972473,-94.57656,290950097001000,13884,804,357,22,22,301,357,368,72,431,22,357,335
66211,38.925159,-94.64136,200910532012006,88963,540,235,235,36,73,235,440,75,440,235,235,0
66007,39.145077,-94.94259,201030712034036,26170,2232,817,585,144,757,817,1235,201,1335,585,817,232
66209,38.900535,-94.63248,200910533021008,62536,2160,694,694,85,754,694,1332,145,1332,694,694,0
66046,38.93230300000001,-95.22513,200450010012037,10204,541,241,159,393,80,241,305,20,473,159,241,82
66224,38.862007,-94.62127,200910534104005,47984,1746,532,516,45,665,532,995,86,1004,516,532,16
64132,38.991406,-94.551,290950089002031,12561,1485,664,346,192,390,664,717,38,839,346,664,318
66052,39.01201,-95.06283,201030714003040,22598,1437,432,412,104,418,432,783,75,815,412,432,20
66614,39.015374,-95.76057,201770026021056,25856,2306,1114,700,118,311,1114,1700,387,1956,700,1114,414
64089,39.389339,-94.56774,290470220001052,22986,1374,653,355,81,313,653,955,163,1013,355,653,298
66109,39.156275,-94.80033,202090448042038,31224,839,284,269,63,175,284,426,37,458,269,284,15
66067,38.614986,-95.27355,200599543002026,27728,1324,649,371,90,267,649,847,108,938,371,649,278
66043,39.258624,-94.89859,201030711021086,19762,943,346,241,87,111,346,933,565,963,241,346,105
66032,38.278069,-95.25997,200039536003011,16437,664,312,286,19,58,312,670,96,683,286,312,26
64055,39.053255,-94.4061,290950146011022,28595,1638,852,626,41,232,852,1222,283,1369,626,852,226
64056,39.115776,-94.34846,290950114061003,19658,1746,551,506,206,381,551,980,109,1027,506,551,45
66104,39.137003,-94.67203,202090404001031,15745,1233,482,399,71,99,482,746,88,802,399,482,83
64106,39.103704,-94.57311,290950159001038,38634,488,385,224,60,15,385,415,38,527,224,385,161
66112,39.117009,-94.76614,202090441032043,23116,1884,781,431,123,370,781,1331,121,1426,431,781,350
66012,39.065703000000006,-94.90453,202090448052000,26966,575,237,209,42,101,237,412,57,435,209,237,28
75124,32.310343,-96.00312,482139505001027,25200,1299,417,289,30,469,417,530,41,687,289,417,128
66220,38.964728,-94.82117,200910526012023,47996,1134,353,327,83,321,353,674,21,706,327,353,26
64108,39.084554,-94.58296,290950158001080,55852,426,347,101,16,0,347,158,9,381,101,347,246
68104,41.292445,-96.0006,310550063032019,14287,1827,524,346,87,524,524,894,101,993,346,524,178
55053,44.338132,-93.05543,271310704002036,23759,1308,449,395,53,360,449,729,86,778,395,449,54
64052,39.076405,-94.44943,290950119001005,22914,766,382,233,84,49,382,504,91,534,233,382,149
66720,37.66607800000001,-95.45681,201339519003066,20148,1413,686,559,20,352,686,968,153,1019,559,686,127
64129,39.051455,-94.4966,290959808021026,,0,0,0,0,0,0,0,0,0,0,0,0
64145,38.896407,-94.59666,290950134072003,45454,1388,699,484,28,162,699,1067,220,1067,484,699,215
66047,38.920649,-95.31219,200450014001007,39941,2023,735,680,48,478,735,1417,176,1436,680,735,55
66044,38.983551,-95.23202,200450001002005,18590,1216,486,372,0,336,486,564,94,715,372,486,114
66020,39.331919,-95.11389,201030709002115,28699,1270,456,434,93,225,456,990,214,1068,434,456,22
66025,38.917032,-95.06455,200450012022104,28042,2951,1110,770,87,967,1110,1594,216,1896,770,1110,340
64124,39.107304,-94.53985,290950009004001,14752,630,289,112,22,86,289,467,73,514,112,289,177
64137,38.929356,-94.53932,290950102031027,20623,1829,653,492,153,288,653,938,168,1024,492,653,161
64086,38.92811,-94.32392,290950139162004,32331,3721,1307,1208,165,1056,1307,1935,187,2202,1208,1307,99
48219,42.425236,-83.24902,261635411002005,9116,894,198,123,32,211,198,436,102,503,123,198,75
64139,38.959277,-94.40868,290950143003020,30007,1101,368,341,52,344,368,670,52,788,341,368,27
68061,41.783203,-96.21577,310219633001190,25261,1580,615,498,110,438,615,981,130,1036,498,615,117
66086,39.112379,-95.08112,201030718003006,23323,1234,503,328,22,354,503,588,84,903,328,503,175
66111,39.076554,-94.79019,202090440031017,23580,871,365,340,69,71,365,635,119,702,340,365,25
66201,39.007755,-94.679486,200910505002001,19736,643,268,221,129,134,268,396,81,429,221,268,47
64110,39.033505,-94.57286,290950075003004,17277,536,211,110,129,59,211,314,12,364,110,211,101
66049,38.97583,-95.30399,200450006031074,31513,2717,1285,762,73,412,1285,1496,180,1837,762,1285,523
64136,39.01543,-94.39967,290950143002016,23931,2115,1006,478,147,459,1006,1290,124,1452,478,1006,528
61424,41.073398,-89.63015,171239613001212,29441,1101,520,429,111,204,520,781,120,816,429,520,91
89015,36.030927,-114.96787,320030054233007,22909,1346,646,218,40,99,646,1110,231,1180,218,646,428
64117,39.165253,-94.53158,290470206021010,24139,702,316,226,19,86,316,433,66,540,226,316,90
67357,37.339913,-95.25834,200999502002084,17840,1565,725,407,206,369,725,852,106,937,407,725,318
64116,39.14912,-94.57314,290470221003014,40886,1015,729,75,52,63,729,477,186,796,75,729,654
64118,39.213082,-94.57248,290470211014007,23521,443,225,172,67,61,225,307,61,317,172,225,53
61114,42.306666,-89.00839,172010005045005,38727,1351,536,536,13,315,536,862,164,965,536,536,0
66105,39.084954,-94.63125,202090426002018,20944,176,93,72,0,0,93,149,17,176,72,93,21
64119,39.202654,-94.51816,290470209021015,23470,1434,579,459,23,399,579,823,123,930,459,579,120
66701,37.823295,-94.73389,200119558001136,27990,1267,556,500,71,249,556,1026,196,1081,500,556,56
65109,38.568287,-92.25329,290510107011040,37424,3260,1249,692,188,765,1249,1974,273,2202,692,1249,557
64078,38.706077,-94.46049,290370610021089,23861,4291,1537,1055,223,1210,1537,2229,431,2579,1055,1537,482
64154,39.261679,-94.63353,291650302101000,31408,1582,487,411,22,601,487,818,111,854,411,487,76
67672,39.015522,-99.89944,201959558003191,17144,711,318,232,22,91,318,599,117,629,232,318,86
64734,38.671517,-94.57953,290370610011116,29959,2900,1149,1101,152,499,1149,2102,348,2179,1101,1149,48
63122,38.58270200000001,-90.40966,291892183001001,34851,959,454,286,116,259,454,595,47,635,286,454,168
64125,39.104887,-94.49541,290950155002211,21426,564,336,143,47,39,336,369,94,418,143,336,193
64747,38.575037,-94.18376,290370607002065,25334,772,280,271,59,145,280,550,76,580,271,280,9
64109,39.065954,-94.56643,290950052001011,13534,531,297,155,0,95,297,309,12,325,155,297,142
64801,37.09416,-94.50169,290970101002004,28857,598,185,109,71,183,185,310,60,320,109,185,76
66019,38.94575,-95.00349,200910527002065,30833,2350,823,566,182,544,823,1421,181,1480,566,823,257
38651,34.893254,-89.97629,280330706302069,32939,5026,1797,1680,251,1278,1797,3151,260,3374,1680,1797,117
78233,29.552128000000003,-98.36775,480291218032004,26592,797,259,204,63,134,259,466,141,506,204,259,55
64776,38.039239,-93.67676,291854803001249,19799,1726,727,693,74,302,727,1234,260,1275,693,727,34
64701,38.641509,-94.34126,290370614001042,19820,2050,791,592,38,604,791,1216,214,1398,592,791,199
64443,39.742355,-94.65253,290210027002148,22232,2069,751,618,127,529,751,1258,168,1336,618,751,133
64152,39.216635,-94.69991,291650303055016,47026,1258,395,315,73,369,395,718,112,765,315,395,80
64063,38.913857,-94.36397,290950137031013,20417,2200,1100,497,100,494,1100,1354,249,1476,497,1100,603
64730,38.259528,-94.32317,290130703001046,16238,991,400,256,65,215,400,540,137,643,256,400,144
64151,39.215652,-94.63021,291650300013013,39083,1498,602,541,40,318,602,1050,139,1105,541,602,61
65020,38.032648,-92.78269,290299504001064,22812,2255,888,711,66,439,888,1475,192,1622,711,888,177
66930,39.718857,-97.49191,201579781002226,28753,543,276,248,15,74,276,444,57,456,248,276,28
64080,38.776782,-94.26207,290370606003059,21115,1245,497,318,130,317,497,873,119,998,318,497,179
68506,40.785557,-96.64599,311090015003024,22833,1450,684,389,62,322,684,1059,55,1220,389,684,295
67201,37.651974,-97.258997,201730066001000,19167,817,354,46,61,251,354,305,33,349,46,354,308
64153,39.281602,-94.71439,291650303071129,,20,10,0,0,0,10,20,0,20,0,10,10
66080,38.398831,-95.2668,200599545005048,17550,678,233,186,25,174,233,375,54,398,186,233,47
64126,39.092304,-94.49948,290950021001028,9699,597,213,153,24,212,213,281,58,322,153,213,60
64769,37.499513,-94.57635,290119602004079,18645,1414,567,485,54,337,567,918,156,991,485,567,82
64013,38.964518,-94.370275,290950142043037,22300,3905,1331,593,151,1140,1331,1864,151,2287,593,1331,738
54530,45.549336,-90.73047,551079601002163,23155,738,349,330,18,142,349,575,89,580,330,349,19
84662,39.461825,-111.47818,490399721006147,17338,1702,512,391,175,488,512,892,102,972,391,512,121
64034,38.843576,-94.34213,290950135021049,27640,2443,864,800,141,559,864,1502,233,1596,800,864,64
80003,39.825357,-105.06439,080590102081017,27652,1207,475,402,15,206,475,777,110,943,402,475,73
66040,38.35152,-94.73705,201079551004231,23182,1576,748,629,58,234,748,1224,185,1235,629,748,119
64157,39.283535,-94.4705,290470213101043,29591,2389,829,770,36,763,829,1225,120,1570,770,829,59
66075,38.184882,-94.70142,201079552004018,16852,792,363,219,15,177,363,483,87,584,219,363,144
64075,38.99535,-94.14225,290950140051028,25889,1951,640,475,136,595,640,1079,95,1186,475,640,165
89147,36.113059,-115.27343,320030029502000,19488,1211,431,196,77,385,431,679,80,765,196,431,235
45102,39.023067,-84.2099,390250411034008,25061,1337,558,353,34,228,558,744,85,912,353,558,205
65809,37.167282,-93.20199,290770038004047,55482,2394,931,885,98,668,931,1707,183,1736,885,931,46
94801,37.941424,-122.36628,060133760002004,11418,1715,525,296,99,488,525,821,15,908,296,525,229
64123,39.113604,-94.52287,290950007001012,10761,1295,343,167,186,318,343,514,16,701,167,343,176
60506,41.766029,-88.35254,170898530063015,21024,1203,390,357,157,233,390,676,125,722,357,390,33
66611,39.0161,-95.6979,201770016012017,78046,748,402,385,49,32,402,660,107,668,385,402,17
66739,37.091398,-94.65462,200219585001015,23672,944,455,360,25,109,455,706,133,737,360,455,95
66222,38.899901,-94.831991,200910528023008,35092,1217,444,444,36,253,444,691,102,879,444,444,0
66225,38.899901,-94.831991,200910528023008,35092,1217,444,444,36,253,444,691,102,879,444,444,0
66063,38.899901,-94.831991,200910528023008,35092,1217,444,444,36,253,444,691,102,879,444,444,0
66285,38.899901,-94.831991,200910528023008,35092,1217,444,444,36,253,444,691,102,879,444,444,0
66286,38.899901,-94.831991,200910528023008,35092,1217,444,444,36,253,444,691,102,879,444,444,0
64742,38.505786,-94.56078,290370611002058,32409,892,344,307,73,134,344,588,100,619,307,344,37
65037,38.232201,-92.82494,291414705002043,17506,711,375,279,5,91,375,997,205,1051,279,375,96
60431,41.52493,-88.19022,171978832141045,24922,2793,1045,1013,144,734,1045,1609,238,1850,1013,1045,32
66113,39.073539,-94.723271,202090438021008,22419,427,130,130,36,145,130,203,44,242,130,130,0
66006,38.789719,-95.21058,200450012031036,24886,1833,683,477,73,449,683,1101,110,1255,477,683,206
65201,38.926838,-92.29003,290190010022014,26470,2361,863,645,52,604,863,1284,207,1377,645,863,218
66110,39.096551,-94.749538,202090440012015,21087,1184,477,325,39,267,477,807,97,885,325,477,152
66160,39.096551,-94.749538,202090440012015,21087,1184,477,325,39,267,477,807,97,885,325,477,152
66119,39.096551,-94.749538,202090440012015,21087,1184,477,325,39,267,477,807,97,885,325,477,152
72450,36.065711,-90.5102,050554804002047,19044,1181,532,346,38,193,532,1058,240,1116,346,532,186
64054,39.108704,-94.44115,290950111003032,19927,1345,611,298,63,234,611,818,158,949,298,611,313
33565,28.065552,-82.14506,120570101062001,26169,2147,702,649,107,499,702,1252,233,1365,649,702,53
72732,36.434311,-93.96045,050070214041023,17633,1521,524,416,43,353,524,948,146,1005,416,524,108
70601,30.226399,-93.20496,220190005003008,29035,773,401,305,0,108,401,617,91,650,305,401,96
64105,39.104204,-94.58868,290950011001013,31453,676,631,33,20,0,631,417,21,592,33,631,598
95953,39.25209,-121.69438999999998,061010507023012,39868,941,364,324,102,206,364,616,104,642,324,364,40
64053,39.10784500000001,-94.46556,290950110003007,14320,617,292,113,18,97,292,358,43,385,113,292,179
64083,38.803528,-94.45103,290370603022014,21568,1480,693,496,99,238,693,987,303,1061,496,693,197
81301,37.295888,-107.84945,080679708002007,40317,1238,519,245,15,85,519,749,100,928,245,519,274
60620,41.74048300000001,-87.65281999999998,170317110001009,24040,1034,397,197,64,161,397,683,84,709,197,397,200
32640,29.601599,-82.0309,121079504001017,18057,1097,482,362,10,165,482,688,98,735,362,482,120
64067,39.17616500000001,-93.86963,291070902002060,19515,1019,500,278,23,208,500,759,111,775,278,500,222
64101,39.103037,-94.60066,290950152001141,36707,1353,987,194,26,80,987,889,62,1327,194,987,793
64018,39.446161,-94.73858,291650306005053,29951,1046,422,400,24,171,422,773,82,834,400,422,22
50323,41.625788,-93.80235,191530113004057,45868,4048,1465,1312,115,1249,1465,2573,208,2720,1312,1465,153
64077,39.22471,-94.13971,291770803002096,23168,2446,904,814,92,639,904,1421,300,1542,814,904,90
64850,36.86429,-94.39016,291450201001036,20003,578,245,199,24,122,245,375,103,424,199,245,46
66518,39.964921,-96.57004,201170901861034,23338,624,274,220,47,114,274,437,35,451,220,274,54
64150,39.174903,-94.62241,291650300022026,18257,2006,996,78,75,368,996,1118,117,1345,78,996,918
71847,33.920355,-93.63751,050574801003120,22598,1054,438,369,64,176,438,704,113,724,369,438,69
64752,38.081874,-94.5645,290130702002315,19311,1570,569,446,82,434,569,947,141,1025,446,569,123
67209,37.67129,-97.4372,201730092002069,34050,1226,504,450,45,229,504,899,199,950,450,504,54
74010,35.843486,-96.38183,400370210003001,13169,1635,595,407,102,395,595,902,111,990,407,595,188
64068,39.246179,-94.41763,290470214011026,13336,769,360,258,448,182,360,496,54,566,258,360,102
89104,36.151108,-115.10857,320030014024001,17828,768,163,110,0,211,163,310,23,451,110,163,53
64477,39.571712,-94.4603,290499603002020,18748,1028,460,261,68,299,460,597,114,667,261,460,199
34208,27.486448,-82.535,120810007052007,8023,2646,614,108,291,946,614,749,0,937,108,614,506
64735,38.364214,-93.76042,290839506004007,20216,1518,569,402,24,261,569,911,131,974,402,569,167
64064,38.98861,-94.36474,290950142041015,50805,1950,730,701,192,433,730,1382,144,1423,701,730,29
63304,38.72926,-90.65332,291833111142067,33966,2451,877,811,156,646,877,1549,212,1578,811,877,66
64468,40.341716,-94.87498,291474704002079,18063,1442,691,242,94,69,691,637,79,790,242,691,449
66509,39.337531,-95.75535,200850828002122,20341,2335,901,659,110,722,901,1276,155,1389,659,901,242
66056,38.141903000000006,-94.82166,201079552002063,23102,1155,546,479,58,206,546,824,64,887,479,546,67
75007,33.00542,-96.89773,481210216132015,28541,835,317,258,33,209,317,413,26,582,258,317,59
65324,38.151604,-92.99055,290299507002022,20259,1407,638,537,42,242,638,1096,231,1096,537,638,101
66002,39.553786,-95.13472,200050818001016,31044,774,325,245,22,99,325,491,86,583,245,325,80
92562,33.568617,-117.25264,060650497002005,40657,3595,969,949,430,1009,969,1885,221,2034,949,969,20
67576,38.014216,-98.79487,201854707001189,22567,1085,408,305,102,259,408,644,58,677,305,408,103
62305,39.96008,-91.302633,170010104001051,21369,1459,515,463,78,413,515,820,136,888,463,515,52
50801,41.070905,-94.38448,191751904001008,24368,668,328,235,194,89,328,606,95,606,235,328,93
66072,38.328516,-94.98253,201079551001064,25709,918,384,372,27,158,384,556,85,586,372,384,12
