,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
0,200910518033010,26836,1118,456,364,167,175,456,692,66,776,364,456,92,20,091,051803,3
437,200910526033009,31591,2962,918,896,174,1042,918,1666,180,1727,896,918,22,20,091,052603,3
479,200910526011028,36935,1498,596,571,44,352,596,991,74,1080,571,596,25,20,091,052601,1
515,200910528012016,36605,1571,475,461,82,576,475,847,77,958,461,475,14,20,091,052801,2
1760,200910518013025,70491,1529,581,573,81,364,581,1055,164,1065,573,581,8,20,091,051801,3
1845,200910533021008,62536,2160,694,694,85,754,694,1332,145,1332,694,694,0,20,091,053302,1
1912,200910535072001,29721,1177,407,371,59,327,407,706,91,773,371,407,36,20,091,053507,2
2710,40250004012039,29655,2158,1099,833,51,258,1099,1579,271,1664,833,1099,266,04,025,000401,2
2712,200910532012006,88963,540,235,235,36,73,235,440,75,440,235,235,0,20,091,053201,2
2732,200910511002006,31059,899,591,328,0,177,591,619,100,659,328,591,263,20,091,051100,2
3148,200910537011044,21429,1668,571,465,103,433,571,823,100,1021,465,571,106,20,091,053701,1
3262,200599545002079,26579,985,399,348,72,177,399,703,115,740,348,399,51,20,059,954500,2
3263,200910524171029,24855,2436,1130,127,158,630,1130,1202,143,1571,127,1130,1003,20,091,052417,1
3524,200910523042015,28705,1384,627,516,88,247,627,1085,95,1195,516,627,111,20,091,052304,2
3838,200910503012017,32814,737,437,254,0,21,437,606,154,622,254,437,183,20,091,050301,2
4164,200910537073009,19170,1265,587,225,56,265,587,767,99,825,225,587,362,20,091,053707,3
4619,202090415001033,10930,1245,393,160,43,361,393,606,33,754,160,393,233,20,209,041500,1
4723,202090448052000,26966,575,237,209,42,101,237,412,57,435,209,237,28,20,209,044805,2
4751,201211006013087,26470,2474,1015,683,228,615,1015,1637,282,1839,683,1015,332,20,121,100601,3
4804,200910526012023,47996,1134,353,327,83,321,353,674,21,706,327,353,26,20,091,052601,2
4833,200910510003006,48974,789,388,368,30,90,388,548,94,637,368,388,20,20,091,051000,3
5012,201211002001012,29257,1517,516,463,44,490,516,784,141,930,463,516,53,20,121,100200,1
5176,290210025002027,18523,776,351,277,43,138,351,479,56,527,277,351,74,29,021,002500,2
5177,202090437002001,22422,1030,347,301,60,223,347,679,61,711,301,347,46,20,209,043700,2
5344,291650303055016,47026,1258,395,315,73,369,395,718,112,765,315,395,80,29,165,030305,5
5349,200910534131021,53453,3642,1347,951,123,1232,1347,2035,153,2215,951,1347,396,20,091,053413,1
5486,290950160002001,9105,1091,353,172,121,441,353,482,55,507,172,353,181,29,095,016000,2
5508,202090440031017,23580,871,365,340,69,71,365,635,119,702,340,365,25,20,209,044003,1
5544,291650300013013,39083,1498,602,541,40,318,602,1050,139,1105,541,602,61,29,165,030001,3
5549,290470213063013,27475,2204,741,741,47,786,741,1272,118,1388,741,741,0,29,047,021306,3
5553,201211007007099,25778,1147,386,356,120,301,386,689,58,729,356,386,30,20,121,100700,7
5582,200910527003017,30802,1751,590,547,88,663,590,983,99,1032,547,590,43,20,091,052700,3
5714,201030718003006,23323,1234,503,328,22,354,503,588,84,903,328,503,175,20,103,071800,3
5725,200910538032009,70692,1565,543,521,74,442,543,1007,146,1025,521,543,22,20,091,053803,2
5812,200910519032015,20840,1429,588,255,40,322,588,643,179,869,255,588,333,20,091,051903,2
5987,200910530091019,61142,2297,763,739,213,579,763,1500,224,1542,739,763,24,20,091,053009,1
6096,200910537112032,28813,592,279,99,12,162,279,514,143,538,99,279,180,20,091,053711,2
6150,200910525021020,48874,1699,615,615,144,404,615,1152,230,1168,615,615,0,20,091,052502,1
6193,200910530023000,39601,1427,829,472,26,178,829,923,120,1117,472,829,357,20,091,053002,3
6382,200910516003018,52364,2277,901,901,157,634,901,1539,126,1539,901,901,0,20,091,051600,3
6426,290950132031006,15083,1111,345,284,124,298,345,559,36,625,284,345,61,29,095,013203,1
6457,200910501005009,29905,1108,420,398,35,266,420,698,87,752,398,420,22,20,091,050100,5
6575,200910521023000,24596,530,278,167,28,39,278,456,68,456,167,278,111,20,091,052102,3
6934,201211004001027,32183,1432,556,504,12,380,556,996,199,1052,504,556,52,20,121,100400,1
6982,290950158001080,55852,426,347,101,16,0,347,158,9,381,101,347,246,29,095,015800,1
7005,200910534104005,47984,1746,532,516,45,665,532,995,86,1004,516,532,16,20,091,053410,4
7035,201211002002006,33587,1928,699,646,70,348,699,1409,140,1450,646,699,53,20,121,100200,2
7060,200910534232004,57630,1896,570,570,103,713,570,1103,86,1131,570,570,0,20,091,053423,2
7135,202090418001004,11478,985,626,31,25,67,626,717,95,745,31,626,595,20,209,041800,1
7166,202090441032043,23116,1884,781,431,123,370,781,1331,121,1426,431,781,350,20,209,044103,2
7206,290739605003024,19850,1016,487,393,59,98,487,756,153,805,393,487,94,29,073,960500,3
7208,200450012022104,28042,2951,1110,770,87,967,1110,1594,216,1896,770,1110,340,20,045,001202,2
7219,200910524152005,30459,1434,745,74,8,333,745,701,96,906,74,745,671,20,091,052415,2
7280,290370614001042,19820,2050,791,592,38,604,791,1216,214,1398,592,791,199,29,037,061400,1
7284,201030707001000,37267,1596,620,488,81,318,620,1134,298,1193,488,620,132,20,103,070700,1
