,fips,per_capita_income,poverty_stat,household_income,mortgage_stat,school_enrollment_16-19,own_children_under18,SSI_income,grandparent_care,military_service,education_25,property_value_occupied,retirement_income,rent_over_income,state,county,tract,blockgroup
0,200910535072001,29721,1177,407,371,59,327,407,706,91,773,371,407,36,20,091,053507,2
1,200910528012016,36605,1571,475,461,82,576,475,847,77,958,461,475,14,20,091,052801,2
2,290950168004006,31496,1210,811,110,0,31,811,634,111,981,110,811,701,29,095,016800,4
3,202090418001004,11478,985,626,31,25,67,626,717,95,745,31,626,595,20,209,041800,1
4,200910501005009,29905,1108,420,398,35,266,420,698,87,752,398,420,22,20,091,050100,5
5,200910524171029,24855,2436,1130,127,158,630,1130,1202,143,1571,127,1130,1003,20,091,052417,1
6,200910503012017,32814,737,437,254,0,21,437,606,154,622,254,437,183,20,091,050301,2
7,290950141013015,23644,1772,640,331,111,453,640,1009,166,1146,331,640,309,29,095,014101,3
8,200910518033010,26836,1118,456,364,167,175,456,692,66,776,364,456,92,20,091,051803,3
9,201211004001027,32183,1432,556,504,12,380,556,996,199,1052,504,556,52,20,121,100400,1
10,200910511002006,31059,899,591,328,0,177,591,619,100,659,328,591,263,20,091,051100,2
11,200910518013025,70491,1529,581,573,81,364,581,1055,164,1065,573,581,8,20,091,051801,3
12,200910537073009,19170,1265,587,225,56,265,587,767,99,825,225,587,362,20,091,053707,3
13,200910534131021,53453,3642,1347,951,123,1232,1347,2035,153,2215,951,1347,396,20,091,053413,1
14,202090415001033,10930,1245,393,160,43,361,393,606,33,754,160,393,233,20,209,041500,1
15,200910519032015,20840,1429,588,255,40,322,588,643,179,869,255,588,333,20,091,051903,2
16,200910527003017,30802,1751,590,547,88,663,590,983,99,1032,547,590,43,20,091,052700,3
17,290950160002001,9105,1091,353,172,121,441,353,482,55,507,172,353,181,29,095,016000,2
18,200910523061019,54198,1487,563,538,65,348,563,1043,121,1060,538,563,25,20,091,052306,1
19,171635032113055,50230,2201,1198,878,39,322,1198,1576,305,1773,878,1198,320,17,163,503211,3
20,290950077001014,14123,598,256,148,40,100,256,447,33,447,148,256,108,29,095,007700,1
21,290950085001001,62050,617,287,287,33,146,287,463,62,463,287,287,0,29,095,008500,1
22,290499602004042,20882,1005,389,263,67,287,389,552,88,638,263,389,126,29,049,960200,4
23,201211002001012,29257,1517,516,463,44,490,516,784,141,930,463,516,53,20,121,100200,1
24,290950057001006,12717,542,269,162,28,133,269,294,10,330,162,269,107,29,095,005700,1
25,202090437002001,22422,1030,347,301,60,223,347,679,61,711,301,347,46,20,209,043700,2
26,200910534232004,57630,1896,570,570,103,713,570,1103,86,1131,570,570,0,20,091,053423,2
27,290950099002000,30634,824,411,364,11,86,411,605,102,708,364,411,47,29,095,009900,2
28,201211007007099,25778,1147,386,356,120,301,386,689,58,729,356,386,30,20,121,100700,7
29,200910521023000,24596,530,278,167,28,39,278,456,68,456,167,278,111,20,091,052102,3
30,200910524152005,30459,1434,745,74,8,333,745,701,96,906,74,745,671,20,091,052415,2
31,201030707001000,37267,1596,620,488,81,318,620,1134,298,1193,488,620,132,20,103,070700,1
32,201490004001094,22245,1138,492,423,153,279,492,706,91,775,423,492,69,20,149,000400,1
33,202090451001027,18217,933,593,44,18,163,593,422,37,568,44,593,549,20,209,045100,1
34,290370613003026,20753,1024,561,199,14,214,561,619,131,762,199,561,362,29,037,061300,3
35,290950132031006,15083,1111,345,284,124,298,345,559,36,625,284,345,61,29,095,013203,1
36,200910525021020,48874,1699,615,615,144,404,615,1152,230,1168,615,615,0,20,091,052502,1
